time,close,high,low,open,volume,flow_vol_z20,flow_money_proxy5,uso_ret5,gld_ret5,eurusd_ret5,usdjpy_ret5,usd_strength,breadth_proxy
2015-01-29 16:00:00+00:00,168.1958491,168.4373065,165.4232528,166.8053879,170839743,0.1578034150489559,-0.027421699,-0.041929925,-0.035694322,-0.001163293,-0.003668527,-0.001252617,0.004958087
2015-01-30 16:00:00+00:00,166.0810159,168.329067,165.797928,166.9885624,201963366,0.8776838987243378,0.5865387723219488,0.048235294,-0.006278677,0.007054162,-0.002232759,-0.00464346,0.004929872
2015-02-02 16:00:00+00:00,168.1042619,168.2041752,164.7405114,166.5805828,177857713,0.1824360484438248,0.8121508225476433,0.1037344398340249,-0.004553586,0.007906702,-0.007808611,-0.007857656,0.001197236
2015-02-03 16:00:00+00:00,170.5521397,170.5604658,168.6454593,168.9701778,134103920,-0.922379423,-0.045162532,0.1394538059267867,-0.02692926,0.007771679,-0.001052779,-0.004412229,0.002140042
2015-02-04 16:00:00+00:00,169.9027027,171.0017499,169.4447664,169.777811,136160536,-0.790103621,-0.194603841,0.1038647342995171,-0.014908443,0.002982323,-0.002478921,-0.002730622,0.002598886
2015-02-05 16:00:00+00:00,171.6678391,171.7677525,170.4938569,170.5438135,103940900,-1.576204172,-0.379029126,0.1408872901678657,0.008529314,0.012069985,-0.0062565,-0.009163242,0.004135094
2015-02-06 16:00:00+00:00,171.1266416,172.5504073,170.6187486,171.9925576,126524408,-0.899768667,-0.35449539,0.092592593,-0.038963143,0.002618474,0.01292027,0.005150898,0.003210225
2015-02-09 16:00:00+00:00,170.3772912,171.2182289,169.9693116,170.4938569,92856375,-1.56918454,-0.470858277,0.061761547,-0.02654795,-0.001296422,0.008465316,0.004880869,0.005319957
2015-02-10 16:00:00+00:00,172.1590799,172.4504939,170.5354874,171.4263817,105472149,-1.154107645,-0.206094003,-0.034166242,-0.021313507,-0.012071697,0.01446972,0.013270708,-0.001313205
2015-02-11 16:00:00+00:00,172.2922977,172.7252557,171.376425,172.0175359,92529726,-1.363913256,-0.310878818,0.012582057,-0.037094917,-0.000503676,0.024778346,0.012641011,-0.001268104
2015-02-12 16:00:00+00:00,173.9491946,174.0074774,172.9167563,173.108257,98894655,-1.109212455,-0.035905004,0.007882291,-0.036538304,-0.005854046,0.011868603,0.008861324,-0.001634058
