Date,ret_1d,logret_1d,roll_ret_5d,roll_ret_10d,roll_ret_20d,SMA_5,SMA_10,SMA_20,SMA_50,SMA_200,EMA_5,EMA_10,EMA_20,EMA_50,EMA_200,MACD_line,MACD_signal,MACD_hist,RSI_14,Stoch_%K_14,Stoch_%D_3,BB_Middle_20,BB_Upper_20_2,BB_Lower_20_2,BB_Width_20,ATR_14,Open,High,Low,Close,Volume
2014-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,173.14988754,173.33306207,171.0184021,171.10166325,125401870.0
2015-01-02,-0.0003406326034063323,-0.000340690631869478,,,,,,,,,,,,,,,,,,,,,,,,,171.8510136,172.25066712,170.00261607,171.043380445,127259203.0
2015-01-05,-0.01786496616852462,-0.018026471087810414,,,,,,,,,,,,,,,,,,,,,,,,,170.0192683,170.160812255,167.646325525,167.98769624,182306552.0
2015-01-06,-0.00961538461538447,-0.009661910911737515,,,,,,,,,,,,,,,,,,,,,,,,,168.295762495,168.78700328,165.57312289,166.37242993,229770923.0
2015-01-07,0.012461215093584332,0.012384213184450488,,,,168.990160486,,,,,168.69829417820992,,,,,,,,,,,,,,,,167.73791279,168.78700328,167.25499812,168.445632565,133203875.0
2015-01-08,0.01774504473333005,0.01758943954442138,0.001946472019465073,,,169.056769406,,,,,169.61043206880663,,,,,,,,,,,,,,,,169.852746,171.65118684,169.844419885,171.43470785,162779574.0
2015-01-09,-0.008305002428363184,-0.008339681098800789,-0.006036119359392189,,,168.850281754,,,,,169.7439354408711,,,,,,,,,,,,,,,,171.842687485,171.859339715,169.45309248,170.010942185,166200080.0
2015-01-12,-0.007541995200548657,-0.0075705798606255925,0.004411181601903236,,,168.998486601,,,,,169.4055304522474,,,,,,,,,,,,,,,,170.20244283,170.343986785,168.129240195,168.728720475,156207721.0
2015-01-13,-0.0028127313101405926,-0.002816694472136838,0.011310179161245326,,,169.37482699900002,,,,,169.02173094149828,,,,,,,,,,,,,,,,169.977637725,171.08501102,166.95525798,168.25413192,234625795.0
2015-01-14,-0.005641330166270775,-0.005657302568012668,-0.006771785873164848,,,169.14669144799998,169.068425967,,,,168.44947223099885,169.04135698643185,,,,,,,,,,,,,,,166.247538205,167.43817265,165.331665555,167.30495481,211146376.0
2015-01-15,-0.009803921568627527,-0.009852296443011888,-0.03365711510441971,-0.03177615571776138,,167.992691909,168.52473065750002,,,,167.52121820566592,168.42742119889877,,,,,,,,,,,,,,,167.88778286,168.187523,165.58977512,165.664710155,187722619.0
2015-01-16,0.013368849575312813,0.013280275058828117,-0.012537342671042007,-0.018497785133622102,,167.566394821,168.2083382875,,,,167.64063105211062,168.32779129818988,,,,,,,,,,,,,,,165.481535625,168.03765293,165.315013325,167.879456745,222987641.0
2015-01-20,0.0022318107424490474,0.002229323952196438,-0.0028127313101407037,0.0015860428231562196,,167.47147711,168.2349818555,,,,167.8451313414071,168.31439868397354,,,,,,,,,,,,,,,168.545545945,168.778677165,166.663843955,168.25413192,144833736.0
